date,shipments_nsa,month_number,year,lag_1,lag_2,lag_3,lag_12,mom_pct_chg,yoy_pct_chg,trailing_3m_mean,trailing_12m_mean,covid_outlier,m3_sa_freeze
2002-01-01,294008,1,2002,,,,,,,294008.0,294008.0,0,0
2002-02-01,306665,2,2002,294008,,,,4.3,,300336.5,300336.5,0,0
2002-03-01,337877,3,2002,306665,294008,,,10.18,,312850.0,312850.0,0,0
2002-04-01,325061,4,2002,337877,306665,294008,,-3.79,,323201.0,315902.8,0,0
2002-05-01,338430,5,2002,325061,337877,306665,,4.11,,333789.3,320408.2,0,0
2002-06-01,343532,6,2002,338430,325061,337877,,1.51,,335674.3,324262.2,0,0
2002-07-01,300402,7,2002,343532,338430,325061,,-12.55,,327454.7,320853.6,0,0
2002-08-01,337490,8,2002,300402,343532,338430,,12.35,,327141.3,322933.1,0,0
2002-09-01,345682,9,2002,337490,300402,343532,,2.43,,327858.0,325460.8,0,0
2002-10-01,343614,10,2002,345682,337490,300402,,-0.6,,342262.0,327276.1,0,0
2002-11-01,324259,11,2002,343614,345682,337490,,-5.63,,337851.7,327001.8,0,0
2002-12-01,317703,12,2002,324259,343614,345682,,-2.02,,328525.3,326226.9,0,0
2003-01-01,305102,1,2003,317703,324259,343614,294008,-3.97,3.77,315688.0,327151.4,0,0
2003-02-01,317506,2,2003,305102,317703,324259,306665,4.07,3.54,313437.0,328054.8,0,0
2003-03-01,352641,3,2003,317506,305102,317703,337877,11.07,4.37,325083.0,329285.2,0,0
2003-04-01,323894,4,2003,352641,317506,305102,325061,-8.15,-0.36,331347.0,329187.9,0,0
2003-05-01,334938,5,2003,323894,352641,317506,338430,3.41,-1.03,337157.7,328896.9,0,0
2003-06-01,351090,6,2003,334938,323894,352641,343532,4.82,2.2,336640.7,329526.8,0,0
2003-07-01,312163,7,2003,351090,334938,323894,300402,-11.09,3.92,332730.3,330506.8,0,0
2003-08-01,337448,8,2003,312163,351090,334938,337490,8.1,-0.01,333567.0,330503.3,0,0
2003-09-01,357845,9,2003,337448,312163,351090,345682,6.04,3.52,335818.7,331516.9,0,0
2003-10-01,356066,10,2003,357845,337448,312163,343614,-0.5,3.62,350453.0,332554.6,0,0
2003-11-01,329062,11,2003,356066,357845,337448,324259,-7.58,1.48,347657.7,332954.8,0,0
2003-12-01,337633,12,2003,329062,356066,357845,317703,2.6,6.27,340920.3,334615.7,0,0
2004-01-01,311470,1,2004,337633,329062,356066,305102,-7.75,2.09,326055.0,335146.3,0,0
2004-02-01,330954,2,2004,311470,337633,329062,317506,6.26,4.24,326685.7,336267.0,0,0
2004-03-01,378915,3,2004,330954,311470,337633,352641,14.49,7.45,340446.3,338456.5,0,0
2004-04-01,349906,4,2004,378915,330954,311470,323894,-7.66,8.03,353258.3,340624.2,0,0
2004-05-01,356301,5,2004,349906,378915,330954,334938,1.83,6.38,361707.3,342404.4,0,0
2004-06-01,379725,6,2004,356301,349906,378915,351090,6.57,8.16,361977.3,344790.7,0,0
2004-07-01,332134,7,2004,379725,356301,349906,312163,-12.53,6.4,356053.3,346454.9,0,0
2004-08-01,371578,8,2004,332134,379725,356301,337448,11.88,10.11,361145.7,349299.1,0,0
2004-09-01,381186,9,2004,371578,332134,379725,357845,2.59,6.52,361632.7,351244.2,0,0
2004-10-01,377425,10,2004,381186,371578,332134,356066,-0.99,6.0,376729.7,353024.1,0,0
2004-11-01,367316,11,2004,377425,381186,371578,329062,-2.68,11.63,375309.0,356211.9,0,0
2004-12-01,372060,12,2004,367316,377425,381186,337633,1.29,10.2,372267.0,359080.8,0,0
2005-01-01,346845,1,2005,372060,367316,377425,311470,-6.78,11.36,362073.7,362028.8,0,0
