date,shipments_nsa,month_number,lag_1,lag_2,lag_3,lag_12,mom_pct_change,yoy_pct_change,trailing_3_month_mean,trailing_12_month_mean,covid_outlier,m3_sa_freeze
2002-01-01,294008,1,,,,,,,,,0,0
2002-02-01,306665,2,294008,,,,4.305,,,,0,0
2002-03-01,337877,3,306665,294008,,,10.1779,,,,0,0
2002-04-01,325061,4,337877,306665,294008,,-3.7931,,312850.0,,0,0
2002-05-01,338430,5,325061,337877,306665,,4.1128,,323201.0,,0,0
2002-06-01,343532,6,338430,325061,337877,,1.5075,,333789.333,,0,0
2002-07-01,300402,7,343532,338430,325061,,-12.5549,,335674.333,,0,0
2002-08-01,337490,8,300402,343532,338430,,12.3461,,327454.667,,0,0
2002-09-01,345682,9,337490,300402,343532,,2.4273,,327141.333,,0,0
2002-10-01,343614,10,345682,337490,300402,,-0.5982,,327858.0,,0,0
2002-11-01,324259,11,343614,345682,337490,,-5.6328,,342262.0,,0,0
2002-12-01,317703,12,324259,343614,345682,,-2.0218,,337851.667,,0,0
2003-01-01,305102,1,317703,324259,343614,294008,-3.9663,3.7734,328525.333,326226.917,0,0
2003-02-01,317506,2,305102,317703,324259,306665,4.0655,3.5351,315688.0,327151.417,0,0
2003-03-01,352641,3,317506,305102,317703,337877,11.0659,4.3696,313437.0,328054.833,0,0
2003-04-01,323894,4,352641,317506,305102,325061,-8.1519,-0.359,325083.0,329285.167,0,0
2003-05-01,334938,5,323894,352641,317506,338430,3.4098,-1.0318,331347.0,329187.917,0,0
2003-06-01,351090,6,334938,323894,352641,343532,4.8224,2.2001,337157.667,328896.917,0,0
2003-07-01,312163,7,351090,334938,323894,300402,-11.0875,3.9151,336640.667,329526.75,0,0
2003-08-01,337448,8,312163,351090,334938,337490,8.0999,-0.0124,332730.333,330506.833,0,0
2003-09-01,357845,9,337448,312163,351090,345682,6.0445,3.5186,333567.0,330503.333,0,0
2003-10-01,356066,10,357845,337448,312163,343614,-0.4971,3.6238,335818.667,331516.917,0,0
2003-11-01,329062,11,356066,357845,337448,324259,-7.584,1.4812,350453.0,332554.583,0,0
2003-12-01,337633,12,329062,356066,357845,317703,2.6047,6.2732,347657.667,332954.833,0,0
2004-01-01,311470,1,337633,329062,356066,305102,-7.7489,2.0872,340920.333,334615.667,0,0
2004-02-01,330954,2,311470,337633,329062,317506,6.2555,4.2355,326055.0,335146.333,0,0
2004-03-01,378915,3,330954,311470,337633,352641,14.4917,7.4506,326685.667,336267.0,0,0
2004-04-01,349906,4,378915,330954,311470,323894,-7.6558,8.031,340446.333,338456.5,0,0
2004-05-01,356301,5,349906,378915,330954,334938,1.8276,6.3782,353258.333,340624.167,0,0
2004-06-01,379725,6,356301,349906,378915,351090,6.5742,8.156,361707.333,342404.417,0,0
2004-07-01,332134,7,379725,356301,349906,312163,-12.533,6.3976,361977.333,344790.667,0,0
2004-08-01,371578,8,332134,379725,356301,337448,11.8759,10.1142,356053.333,346454.917,0,0
2004-09-01,381186,9,371578,332134,379725,357845,2.5857,6.5227,361145.667,349299.083,0,0
2004-10-01,377425,10,381186,371578,332134,356066,-0.9867,5.9986,361632.667,351244.167,0,0
2004-11-01,367316,11,377425,381186,371578,329062,-2.6784,11.6252,376729.667,353024.083,0,0
2004-12-01,372060,12,367316,377425,381186,337633,1.2915,10.1966,375309.0,356211.917,0,0
2005-01-01,346845,1,372060,367316,377425,311470,-6.7771,11.3574,372267.0,359080.833,0,0
2005-02-01,360009,2,346845,372060,367316,330954,3.7954,8.7792,362073.667,362028.75,0,0
2005-03-01,408699,3,360009,346845,372060,378915,13.5247,7.8603,359638.0,364450.0,0,0
2005-04-01,386657,4,408699,360009,346845,349906,-5.3932,10.5031,371851.0,366932.0,0,0
2005-05-01,396886,5,386657,408699,360009,356301,2.6455,11.3907,385121.667,369994.583,0,0
2005-06-01,417555,6,396886,386657,408699,379725,5.2078,9.9625,397414.0,373376.667,0,0
2005-07-01,362573,7,417555,396886,386657,332134,-13.1676,9.1647,400366.0,376529.167,0,0
2005-08-01,416538,8,362573,417555,396886,371578,14.8839,12.0997,392338.0,379065.75,0,0
2005-09-01,423813,9,416538,362573,417555,381186,1.7465,11.1827,398888.667,382812.417,0,0
2005-10-01,414186,10,423813,416538,362573,377425,-2.2715,9.7399,400974.667,386364.667,0,0
2005-11-01,401328,11,414186,423813,416538,367316,-3.1044,9.2596,418179.0,389428.083,0,0
2005-12-01,406988,12,401328,414186,423813,372060,1.4103,9.3877,413109.0,392262.417,0,0
2006-01-01,380278,1,406988,401328,414186,346845,-6.5628,9.6392,407500.667,395173.083,0,0
2006-02-01,386860,2,380278,406988,401328,360009,1.7308,7.4584,396198.0,397959.167,0,0
2006-03-01,444217,3,386860,380278,406988,408699,14.8263,8.6905,391375.333,400196.75,0,0
2006-04-01,402039,4,444217,386860,380278,386657,-9.4949,3.9782,403785.0,403156.583,0,0
2006-05-01,438708,5,402039,444217,386860,396886,9.1208,10.5375,411038.667,404438.417,0,0
2006-06-01,452172,6,438708,402039,444217,417555,3.069,8.2904,428321.333,407923.583,0,0
2006-07-01,392564,7,452172,438708,402039,362573,-13.1826,8.2717,430973.0,410808.333,0,0
2006-08-01,444840,8,392564,452172,438708,416538,13.3166,6.7946,427814.667,413307.583,0,0
2006-09-01,427888,9,444840,392564,452172,423813,-3.8108,0.9615,429858.667,415666.083,0,0
2006-10-01,422912,10,427888,444840,392564,414186,-1.1629,2.1068,421764.0,416005.667,0,0
2006-11-01,408549,11,422912,427888,444840,401328,-3.3962,1.7993,431880.0,416732.833,0,0
2006-12-01,414525,12,408549,422912,427888,406988,1.4627,1.8519,419783.0,417334.583,0,0
2007-01-01,388574,1,414525,408549,422912,380278,-6.2604,2.1816,415328.667,417962.667,0,0
2007-02-01,397035,2,388574,414525,408549,386860,2.1774,2.6302,403882.667,418654.0,0,0
2007-03-01,454967,3,397035,388574,414525,444217,14.5912,2.42,400044.667,419501.917,0,0
2007-04-01,431264,4,454967,397035,388574,402039,-5.2098,7.2692,413525.333,420397.75,0,0
2007-05-01,460286,5,431264,454967,397035,438708,6.7295,4.9185,427755.333,422833.167,0,0
2007-06-01,469555,6,460286,431264,454967,452172,2.0137,3.8443,448839.0,424631.333,0,0
2007-07-01,423669,7,469555,460286,431264,392564,-9.7722,7.9235,453701.667,426079.917,0,0
2007-08-01,468381,8,423669,469555,460286,444840,10.5535,5.292,451170.0,428672.0,0,0
2007-09-01,455609,9,468381,423669,469555,427888,-2.7268,6.4786,453868.333,430633.75,0,0
2007-10-01,470641,10,455609,468381,423669,422912,3.2993,11.2858,449219.667,432943.833,0,0
2007-11-01,453942,11,470641,455609,468381,408549,-3.5481,11.1108,464877.0,436921.25,0,0
2007-12-01,445534,12,453942,470641,455609,414525,-1.8522,7.4806,460064.0,440704.0,0,0
2008-01-01,432307,1,445534,453942,470641,388574,-2.9688,11.2547,456705.667,443288.083,0,0
2008-02-01,442996,2,432307,445534,453942,397035,2.4725,11.5761,443927.667,446932.5,0,0
2008-03-01,474592,3,442996,432307,445534,454967,7.1323,4.3135,440279.0,450762.583,0,0
2008-04-01,475667,4,474592,442996,432307,431264,0.2265,10.296,449965.0,452398.0,0,0
2008-05-01,490500,5,475667,474592,442996,460286,3.1184,6.5642,464418.333,456098.25,0,0
2008-06-01,510081,6,490500,475667,474592,469555,3.992,8.6307,480253.0,458616.083,0,0
2008-07-01,476948,7,510081,490500,475667,423669,-6.4956,12.5756,492082.667,461993.25,0,0
2008-08-01,482530,8,476948,510081,490500,468381,1.1704,3.0208,492509.667,466433.167,0,0
2008-09-01,471799,9,482530,476948,510081,455609,-2.2239,3.5535,489853.0,467612.25,0,0
2008-10-01,450521,10,471799,482530,476948,470641,-4.51,-4.275,477092.333,468961.417,0,0
2008-11-01,383475,11,450521,471799,482530,453942,-14.8819,-15.5233,468283.333,467284.75,0,0
2008-12-01,377578,12,383475,450521,471799,445534,-1.5378,-15.2527,435265.0,461412.5,0,0
2009-01-01,337101,1,377578,383475,450521,432307,-10.7202,-22.0228,403858.0,455749.5,0,0
2009-02-01,340896,2,337101,377578,383475,442996,1.1258,-23.0476,366051.333,447815.667,0,0
2009-03-01,374521,3,340896,337101,377578,474592,9.8637,-21.0857,351858.333,439307.333,0,0
2009-04-01,354790,4,374521,340896,337101,475667,-5.2683,-25.4121,350839.333,430968.083,0,0
2009-05-01,358584,5,354790,374521,340896,490500,1.0694,-26.8942,356735.667,420895.0,0,0
2009-06-01,385206,6,358584,354790,374521,510081,7.4242,-24.4814,362631.667,409902.0,0,0
2009-07-01,358332,7,385206,358584,354790,476948,-6.9765,-24.8698,366193.333,399495.75,0,0
2009-08-01,377369,8,358332,385206,358584,482530,5.3127,-21.7937,367374.0,389611.083,0,0
2009-09-01,389504,9,377369,358332,385206,471799,3.2157,-17.4428,373635.667,380847.667,0,0
2009-10-01,389108,10,389504,377369,358332,450521,-0.1017,-13.6316,375068.333,373989.75,0,0
2009-11-01,372369,11,389108,389504,377369,383475,-4.3019,-2.8961,385327.0,368872.0,0,0
2009-12-01,385999,12,372369,389108,389504,377578,3.6603,2.2303,383660.333,367946.5,0,0
2010-01-01,359013,1,385999,372369,389108,337101,-6.9912,6.5001,382492.0,368648.25,0,0
2010-02-01,362439,2,359013,385999,372369,340896,0.9543,6.3195,372460.333,370474.25,0,0
2010-03-01,424203,3,362439,359013,385999,374521,17.0412,13.2655,369150.333,372269.5,0,0
2010-04-01,408902,4,424203,362439,359013,354790,-3.607,15.2518,381885.0,376409.667,0,0
2010-05-01,408799,5,408902,424203,362439,358584,-0.0252,14.0037,398514.667,380919.0,0,0
2010-06-01,428819,6,408799,408902,424203,385206,4.8973,11.322,413968.0,385103.583,0,0
2010-07-01,398302,7,428819,408799,408902,358332,-7.1165,11.1545,415506.667,388738.0,0,0
2010-08-01,424860,8,398302,428819,408799,377369,6.6678,12.5848,411973.333,392068.833,0,0
2010-09-01,431329,9,424860,398302,428819,389504,1.5226,10.738,417327.0,396026.417,0,0
2010-10-01,425072,10,431329,424860,398302,389108,-1.4506,9.2427,418163.667,399511.833,0,0
2010-11-01,412464,11,425072,431329,424860,372369,-2.9661,10.7675,427087.0,402508.833,0,0
2010-12-01,427075,12,412464,425072,431329,385999,3.5424,10.6415,422955.0,405850.083,0,0
2011-01-01,403211,1,427075,412464,425072,359013,-5.5878,12.311,421537.0,409273.083,0,0
2011-02-01,407684,2,403211,427075,412464,362439,1.1093,12.4835,414250.0,412956.25,0,0
2011-03-01,485327,3,407684,403211,427075,424203,19.0449,14.4091,412656.667,416726.667,0,0
2011-04-01,456422,4,485327,407684,403211,408902,-5.9558,11.6214,432074.0,421820.333,0,0
2011-05-01,466496,5,456422,485327,407684,408799,2.2072,14.1138,449811.0,425780.333,0,0
2011-06-01,484994,6,466496,456422,485327,428819,3.9653,13.0999,469415.0,430588.417,0,0
2011-07-01,445432,7,484994,466496,456422,398302,-8.1572,11.8327,469304.0,435269.667,0,0
2011-08-01,484300,8,445432,484994,466496,424860,8.7259,13.9905,465640.667,439197.167,0,0
2011-09-01,478009,9,484300,445432,484994,431329,-1.299,10.8224,471575.333,444150.5,0,0
2011-10-01,469514,10,478009,484300,445432,425072,-1.7772,10.4552,469247.0,448040.5,0,0
2011-11-01,453233,11,469514,478009,484300,412464,-3.4676,9.8843,477274.333,451744.0,0,0
2011-12-01,457272,12,453233,469514,478009,427075,0.8912,7.0707,466918.667,455141.417,0,0
2012-01-01,435284,1,457272,453233,469514,403211,-4.8085,7.9544,460006.333,457657.833,0,0
2012-02-01,454151,2,435284,457272,453233,407684,4.3344,11.3978,448596.333,460330.583,0,0
2012-03-01,502968,3,454151,435284,457272,485327,10.7491,3.6349,448902.333,464202.833,0,0
2012-04-01,472688,4,502968,454151,435284,456422,-6.0203,3.5638,464134.333,465672.917,0,0
2012-05-01,492665,5,472688,502968,454151,466496,4.2263,5.6097,476602.333,467028.417,0,0
2012-06-01,487714,6,492665,472688,502968,484994,-1.0049,0.5608,489440.333,469209.167,0,0
2012-07-01,453282,7,487714,492665,472688,445432,-7.0599,1.7623,484355.667,469435.833,0,0
2012-08-01,493640,8,453282,487714,492665,484300,8.9035,1.9286,477887.0,470090.0,0,0
2012-09-01,482320,9,493640,453282,487714,478009,-2.2932,0.9019,478212.0,470868.333,0,0
2012-10-01,491603,10,482320,493640,453282,469514,1.9247,4.7047,476414.0,471227.583,0,0
2012-11-01,467096,11,491603,482320,493640,453233,-4.9851,3.0587,489187.667,473068.333,0,0
2012-12-01,463317,12,467096,491603,482320,457272,-0.809,1.322,480339.667,474223.583,0,0
2013-01-01,447948,1,463317,467096,491603,435284,-3.3172,2.9094,474005.333,474727.333,0,0
2013-02-01,453770,2,447948,463317,467096,454151,1.2997,-0.0839,459453.667,475782.667,0,0
2013-03-01,501722,3,453770,447948,463317,502968,10.5675,-0.2477,455011.667,475750.917,0,0
2013-04-01,481945,4,501722,453770,447948,472688,-3.9418,1.9584,467813.333,475647.083,0,0
2013-05-01,502208,5,481945,501722,453770,492665,4.2044,1.937,479145.667,476418.5,0,0
2013-06-01,497211,6,502208,481945,501722,487714,-0.995,1.9472,495291.667,477213.75,0,0
2013-07-01,473078,7,497211,502208,481945,453282,-4.8537,4.3673,493788.0,478005.167,0,0
2013-08-01,502793,8,473078,497211,502208,493640,6.2812,1.8542,490832.333,479654.833,0,0
2013-09-01,497700,9,502793,473078,497211,482320,-1.0129,3.1888,491027.333,480417.583,0,0
2013-10-01,502769,10,497700,502793,473078,491603,1.0185,2.2713,491190.333,481699.25,0,0
2013-11-01,475613,11,502769,497700,502793,467096,-5.4013,1.8234,501087.333,482629.75,0,0
2013-12-01,477370,12,475613,502769,497700,463317,0.3694,3.0331,492027.333,483339.5,0,0
2014-01-01,452212,1,477370,475613,502769,447948,-5.2701,0.9519,485250.667,484510.583,0,0
2014-02-01,457808,2,452212,477370,475613,453770,1.2375,0.8899,468398.333,484865.917,0,0
2014-03-01,513946,3,457808,452212,477370,501722,12.2623,2.4364,462463.333,485202.417,0,0
2014-04-01,496788,4,513946,457808,452212,481945,-3.3385,3.0798,474655.333,486221.083,0,0
2014-05-01,506820,5,496788,513946,457808,502208,2.0194,0.9183,489514.0,487458.0,0,0
2014-06-01,517141,6,506820,496788,513946,497211,2.0364,4.0084,505851.333,487842.333,0,0
2014-07-01,488066,7,517141,506820,496788,473078,-5.6223,3.1682,506916.333,489503.167,0,0
2014-08-01,506609,8,488066,517141,506820,502793,3.7993,0.759,504009.0,490752.167,0,0
2014-09-01,513098,9,506609,488066,517141,497700,1.2809,3.0938,503938.667,491070.167,0,0
2014-10-01,505475,10,513098,506609,488066,502769,-1.4857,0.5382,502591.0,492353.333,0,0
2014-11-01,458398,11,505475,513098,506609,475613,-9.3134,-3.6195,508394.0,492578.833,0,0
2014-12-01,472646,12,458398,505475,513098,477370,3.1082,-0.9896,492323.667,491144.25,0,0
2015-01-01,424104,1,472646,458398,505475,452212,-10.2703,-6.2157,478839.667,490750.583,0,0
2015-02-01,431113,2,424104,472646,458398,457808,1.6527,-5.831,451716.0,488408.25,0,0
2015-03-01,493365,3,431113,424104,472646,513946,14.4398,-4.0045,442621.0,486183.667,0,0
2015-04-01,469899,4,493365,431113,424104,496788,-4.7563,-5.4126,449527.333,484468.583,0,0
2015-05-01,469475,5,469899,493365,431113,506820,-0.0902,-7.3685,464792.333,482227.833,0,0
2015-06-01,496586,6,469475,469899,493365,517141,5.7747,-3.9747,477579.667,479115.75,0,0
2015-07-01,454788,7,496586,469475,469899,488066,-8.4171,-6.8183,478653.333,477402.833,0,0
2015-08-01,470575,8,454788,496586,469475,506609,3.4713,-7.1128,473616.333,474629.667,0,0
2015-09-01,478931,9,470575,454788,496586,513098,1.7757,-6.659,473983.0,471626.833,0,0
2015-10-01,466724,10,478931,470575,454788,505475,-2.5488,-7.6663,468098.0,468779.583,0,0
2015-11-01,437157,11,466724,478931,470575,458398,-6.335,-4.6337,472076.667,465550.333,0,0
2015-12-01,440316,12,437157,466724,478931,472646,0.7226,-6.8402,460937.333,463780.25,0,0
2016-01-01,399750,1,440316,437157,466724,424104,-9.2129,-5.7425,448065.667,461086.083,0,0
2016-02-01,425230,2,399750,440316,437157,431113,6.374,-1.3646,425741.0,459056.583,0,0
2016-03-01,473035,3,425230,399750,440316,493365,11.2422,-4.1207,421765.333,458566.333,0,0
2016-04-01,441341,4,473035,425230,399750,469899,-6.7001,-6.0775,432671.667,456872.167,0,0
2016-05-01,452785,5,441341,473035,425230,469475,2.593,-3.555,446535.333,454492.333,0,0
2016-06-01,475935,6,452785,441341,473035,496586,5.1128,-4.1586,455720.333,453101.5,0,0
2016-07-01,422080,7,475935,452785,441341,454788,-11.3156,-7.1919,456687.0,451380.583,0,0
2016-08-01,465534,8,422080,475935,452785,470575,10.2952,-1.0712,450266.667,448654.917,0,0
2016-09-01,468036,9,465534,422080,475935,478931,0.5374,-2.2749,454516.333,448234.833,0,0
2016-10-01,452756,10,468036,465534,422080,466724,-3.2647,-2.9928,451883.333,447326.917,0,0
2016-11-01,437278,11,452756,468036,465534,437157,-3.4186,0.0277,462108.667,446162.917,0,0
2016-12-01,449836,12,437278,452756,468036,440316,2.8719,2.1621,452690.0,446173.0,0,0
2017-01-01,418459,1,449836,437278,452756,399750,-6.9752,4.6802,446623.333,446966.333,0,0
2017-02-01,424409,2,418459,449836,437278,425230,1.4219,-0.1931,435191.0,448525.417,0,0
2017-03-01,487759,3,424409,418459,449836,473035,14.9266,3.1127,430901.333,448457.0,0,0
2017-04-01,445296,4,487759,424409,418459,441341,-8.7057,0.8961,443542.333,449684.0,0,0
2017-05-01,473532,5,445296,487759,424409,452785,6.341,4.5821,452488.0,450013.583,0,0
2017-06-01,486172,6,473532,445296,487759,475935,2.6693,2.1509,468862.333,451742.5,0,0
2017-07-01,434979,7,486172,473532,445296,422080,-10.5298,3.0561,468333.333,452595.583,0,0
2017-08-01,483158,8,434979,486172,473532,465534,11.0762,3.7858,464894.333,453670.5,0,0
2017-09-01,480032,9,483158,434979,486172,468036,-0.647,2.5631,468103.0,455139.167,0,0
2017-10-01,479853,10,480032,483158,434979,452756,-0.0373,5.9849,466056.333,456138.833,0,0
2017-11-01,468937,11,479853,480032,483158,437278,-2.2749,7.24,481014.333,458396.917,0,0
2017-12-01,466209,12,468937,479853,480032,449836,-0.5817,3.6398,476274.0,461035.167,0,0
2018-01-01,448935,1,466209,468937,479853,418459,-3.7052,7.2829,471666.333,462399.583,0,0
2018-02-01,449731,2,448935,466209,468937,424409,0.1773,5.9664,461360.333,464939.25,0,0
2018-03-01,512841,3,449731,448935,466209,487759,14.0328,5.1423,454958.333,467049.417,0,0
2018-04-01,483195,4,512841,449731,448935,445296,-5.7807,8.511,470502.333,469139.583,0,0
2018-05-01,510525,5,483195,512841,449731,473532,5.6561,7.8121,481922.333,472297.833,0,0
2018-06-01,521626,6,510525,483195,512841,486172,2.1744,7.2925,502187.0,475380.583,0,0
2018-07-01,477789,7,521626,510525,483195,434979,-8.4039,9.8419,505115.333,478335.083,0,0
2018-08-01,522059,8,477789,521626,510525,483158,9.2656,8.0514,503313.333,481902.583,0,0
2018-09-01,509310,9,522059,477789,521626,480032,-2.4421,6.0992,507158.0,485144.333,0,0
2018-10-01,518885,10,509310,522059,477789,479853,1.88,8.1342,503052.667,487584.167,0,0
2018-11-01,486205,11,518885,509310,522059,468937,-6.2981,3.6824,516751.333,490836.833,0,0
2018-12-01,479291,12,486205,518885,509310,466209,-1.422,2.806,504800.0,492275.833,0,0
2019-01-01,457984,1,479291,486205,518885,448935,-4.4455,2.0157,494793.667,493366.0,0,0
2019-02-01,458384,2,457984,479291,486205,449731,0.0873,1.924,474493.333,494120.083,0,0
2019-03-01,511453,3,458384,457984,479291,512841,11.5774,-0.2706,465219.667,494841.167,0,0
2019-04-01,491292,4,511453,458384,457984,483195,-3.9419,1.6757,475940.333,494725.5,0,0
2019-05-01,506074,5,491292,511453,458384,510525,3.0088,-0.8718,487043.0,495400.25,0,0
2019-06-01,503470,6,506074,491292,511453,521626,-0.5145,-3.4807,502939.667,495029.333,0,0
2019-07-01,471574,7,503470,506074,491292,477789,-6.3352,-1.3008,500278.667,493516.333,0,0
2019-08-01,497737,8,471574,503470,506074,522059,5.548,-4.6589,493706.0,492998.417,0,0
2019-09-01,488995,9,497737,471574,503470,509310,-1.7563,-3.9887,490927.0,490971.583,0,0
2019-10-01,491222,10,488995,497737,471574,518885,0.4554,-5.3312,486102.0,489278.667,0,0
2019-11-01,457063,11,491222,488995,497737,486205,-6.9539,-5.9938,492651.333,486973.417,0,0
2019-12-01,462221,12,457063,491222,488995,479291,1.1285,-3.5615,479093.333,484544.917,0,0
2020-01-01,435587,1,462221,457063,491222,457984,-5.7622,-4.8903,470168.667,483122.417,0,0
2020-02-01,441238,2,435587,462221,457063,458384,1.2973,-3.7405,451623.667,481256.0,0,0
2020-03-01,460295,3,441238,435587,462221,511453,4.319,-10.0025,446348.667,479827.167,0,0
2020-04-01,374419,4,460295,441238,435587,491292,-18.6567,-23.7889,445706.667,475564.0,1,0
2020-05-01,384852,5,374419,460295,441238,506074,2.7865,-23.9534,425317.333,465824.583,1,0
2020-06-01,448794,6,384852,374419,460295,503470,16.6147,-10.8598,406522.0,455722.75,1,0
2020-07-01,433504,7,448794,384852,374419,471574,-3.4069,-8.073,402688.333,451166.417,0,0
2020-08-01,457352,8,433504,448794,384852,497737,5.5012,-8.1137,422383.333,447993.917,0,0
2020-09-01,469063,9,457352,433504,448794,488995,2.5606,-4.0761,446550.0,444628.5,0,0
2020-10-01,471229,10,469063,457352,433504,491222,0.4618,-4.0701,453306.333,442967.5,0,0
2020-11-01,448344,11,471229,469063,457352,457063,-4.8564,-1.9076,465881.333,441301.417,0,0
2020-12-01,473606,12,448344,471229,469063,462221,5.6345,2.4631,462878.667,440574.833,0,0
2021-01-01,447117,1,473606,448344,471229,435587,-5.593,2.647,464393.0,441523.583,0,0
2021-02-01,451405,2,447117,473606,448344,441238,0.959,2.3042,456355.667,442484.417,0,0
2021-03-01,523903,3,451405,447117,473606,460295,16.0605,13.819,457376.0,443331.667,0,0
2021-04-01,499084,4,523903,451405,447117,374419,-4.7373,33.2956,474141.667,448632.333,0,0
2021-05-01,507020,5,499084,523903,451405,384852,1.5901,31.7442,491464.0,459021.083,0,0
2021-06-01,544586,6,507020,499084,523903,448794,7.4092,21.3443,510002.333,469201.75,0,0
2021-07-01,510671,7,544586,507020,499084,433504,-6.2277,17.8008,516896.667,477184.417,0,0
2021-08-01,542224,8,510671,544586,507020,457352,6.1787,18.5573,520759.0,483615.0,0,0
2021-09-01,549645,9,542224,510671,544586,469063,1.3686,17.1794,532493.667,490687.667,0,0
2021-10-01,550918,10,549645,542224,510671,471229,0.2316,16.9109,534180.0,497402.833,0,0
2021-11-01,537801,11,550918,549645,542224,448344,-2.3809,19.9528,547595.667,504043.583,0,0
2021-12-01,550029,12,537801,550918,549645,473606,2.2737,16.1364,546121.333,511498.333,0,0
2022-01-01,515639,1,550029,537801,550918,447117,-6.2524,15.3253,546249.333,517866.917,0,0
2022-02-01,525968,2,515639,550029,537801,451405,2.0031,16.518,534489.667,523577.083,0,0
2022-03-01,619994,3,525968,515639,550029,523903,17.8768,18.3414,530545.333,529790.667,0,0
2022-04-01,581173,4,619994,525968,515639,499084,-6.2615,16.4479,553867.0,537798.25,0,0
2022-05-01,604334,5,581173,619994,525968,507020,3.9852,19.1933,575711.667,544639.0,0,0
2022-06-01,636267,6,604334,581173,619994,544586,5.284,16.835,601833.667,552748.5,0,0
2022-07-01,569848,7,636267,604334,581173,510671,-10.4389,11.5881,607258.0,560388.583,0,0
2022-08-01,620073,8,569848,636267,604334,542224,8.8138,14.3574,603483.0,565320.0,0,0
2022-09-01,612367,9,620073,569848,636267,549645,-1.2428,11.4114,608729.333,571807.417,0,0
2022-10-01,607682,10,612367,620073,569848,550918,-0.7651,10.3035,600762.667,577034.25,0,0
2022-11-01,580318,11,607682,612367,620073,537801,-4.503,7.9057,613374.0,581764.583,0,0
2022-12-01,575000,12,580318,607682,612367,550029,-0.9164,4.5399,600122.333,585307.667,0,0
2023-01-01,548903,1,575000,580318,607682,515639,-4.5386,6.451,587666.667,587388.583,0,0
2023-02-01,545506,2,548903,575000,580318,525968,-0.6189,3.7147,568073.667,590160.583,0,0
2023-03-01,621927,3,545506,548903,575000,619994,14.0092,0.3118,556469.667,591788.75,0,0
